"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"1284";"B31606809";"15-A-581-00007994";"EUROGRAF NAVARRA SL";"EUROGRAF NAVARRA S.L,";"PG IND TAJONAR CL O NAVE 31";"ARANGUREN";"Mutilva Baja/Mutiloabeiti ";"Navarra";"31192";"948230273";;"948230273";;"58.19";"Otras actividades editoriales";;
"1285";"B31802523";"15-A-812-00051765";"ORIA SELECCIONES Y RECUPERACIONES SL";"ORIA SELECCIONES Y RECUPERACIONES S.L.";"CL OLAZ CHIPI  6";"HUARTE/UHARTE";"Huarte/Uharte";"Navarra";"31620";;;;;"81.21";"Limpieza general de edificios";;
"1286";"B31715303";"15-A-812-00052078";"MONTAJES INDUSTRIALES ALFECO SL";"MONTAJES INDUSTRIALES ALFECO, S.L.";"PG. IPERTEGUI II NAVE 41";"ORKOIEN";"Orkoien";"Navarra";"31160";;;;;"81.21";"Limpieza general de edificios";;
"1287";"A31128184";"15-A-829-00009656";"SUESCUN ALMACEN DE SAL SA";"SUESCUN ALMACEN DE SAL S.A.";"MAYOR 56";"PUENTE LA REINA/GARES";"Puente la Reina/Gares";"Navarra";"31100";;;;;"82.92";"Actividades de envasado y empaquetado";;
"1288";"B31824709";"15-A-829-00051920";"VILLAFRANCA MANUFACTURAS SLL";"VILLAFRANCA MANUFACTURAS S.L.L.";"PG. IND. ALESVES, 2 S/N";"VILLAFRANCA";"Villafranca";"Navarra";"31330";"948153910";;"948154047";;"82.92";"Actividades de envasado y empaquetado";;
"1289";"J71054761";"15-A-829-00053475";"FLOREA RAMONA Y GONZALEZ GURREA LUIS CARLOS";"ETIQUETADOS RAMONA";"RAMAL Nº 27";"LODOSA";"Lodosa";"Navarra";"31580";"948696113";;;;"82.92";"Actividades de envasado y empaquetado";;
"1290";"B31562127";"15-A-920-00014074";"AUTOMATICOS ARGA SL";"AUTOMATICOS ARGA, S.L.";"PG IND EL ESCOPAR 3";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948713048";;"948713048";;"92";"Actividades de juegos de azar y apuestas";;
"1291";"B31813041";"15-A-951-00053283";"EQUIZA MENDIA SL";"EQUIZA MENDIA S.L.";"URB LOS ARCOS  2";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";;;;;"95.12";"Reparación de equipos de comunicación";;
"1292";"24046728K";"15-A-952-00009881";"HERNANDEZ YESTE FRANCISCO";"HERNANDEZ YESTE FRANCISCO";"CRUZ DE BARCACIO, 43";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"95.21";"Reparación de aparatos electrónicos de audio y vídeo de uso doméstico";;
"1293";"15783382T";"15-A-952-00009284";"BLANCO OSTA FELIX";"BLANCO OSTA FELIX";"2 AGRUPAC ORVINA II";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"95.21";"Reparación de aparatos electrónicos de audio y vídeo de uso doméstico";;
"1294";"E31167687";"15-A-952-00006890";"FOURCO ARTICA ANTONIO Y NUIN GOñI LUIS";"LABORATORIO ASISTENCIA TECNICA ELECTRONICA";"RIO URROBI 4 BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31005";"948239036";;;;"95.21";"Reparación de aparatos electrónicos de audio y vídeo de uso doméstico";;
"1295";"E31159163";"15-A-952-00012079";"AGUADO BAYON JM Y GONZALEZ MAYOR R";"MADURGA COLINA, JAVIER";"FUENTE CANONIGOS, 5";"TUDELA";"Tudela";"Navarra";"31500";;;;;"95.21";"Reparación de aparatos electrónicos de audio y vídeo de uso doméstico";;
"1296";"E31190465";"15-A-952-00008305";"CEBALLOS ZABALETA JUAN ESTEBAN Y ZUBILLAGA BA LDA JOSE MARIA";"CEBALLOS ZABALETA, JOSÉ Y JUAN";"AMAZABAL";"LEITZA";"Arkiskil";"Navarra";"31880";;;;;"95.21";"Reparación de aparatos electrónicos de audio y vídeo de uso doméstico";;
"1297";"15739436F";"15-A-952-00012067";"GARNICA BURGALETA JESUS";"GARNICA BURGALETA. JESUS";"MANUEL IRIBARREN, 20";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"95.21";"Reparación de aparatos electrónicos de audio y vídeo de uso doméstico";;
"1298";"B31102791";"15-A-952-00010694";"ELECTRONICA Y SONIDO DE NAVARRA SL";"ELECTRONICA Y SONIDO DE NAVARRA S.A.";"RIO EGA 12 BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"95.21";"Reparación de aparatos electrónicos de audio y vídeo de uso doméstico";;
"1299";"18210270C";"15-A-952-00012076";"INDURAIN SADABA EDUARDO";"INDURAIN SADABA, EDUARDO";"AVENIDA VILLAVA, 49";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"95.23";"Reparación de calzado y artículos de cuero";;
"1300";"15844406M";"15-A-952-00012237";"OSTA USTARROZ ANTONIO RAUL";"OSTA VALDEMOROS ANTONIO Y OTRO";"CINTRUENIGO 15 BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"95.23";"Reparación de calzado y artículos de cuero";;
"1301";"72671133B";"15-A-960-00014379";"IRIBERRI EIZAGUIRRE FERMIN";"TINTORERIA IRIBERRI";"CL AKULLEGUI 1";"BAZTAN";"Elizondo ";"Navarra";"31700";"948580019";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1302";"18206747Q";"15-A-960-00009982";"COMPAIN TORREA MARIA SOLEDAD";"COMPAINS TORREA, LUCIA Y SOLEDAD";"KATUARRI";"ANSOÁIN/ANTSOAIN";"Ansoáin/Antsoain";"Navarra";"31013";;;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1303";"B31978398";"15-A-960-00014109";"ILUNION NAVARRA, SL";"ILUNION NAVARRA S.L. - BERIAIN";"POL. IND. ERREKALDEA CALLE F NAVE 10";"BERIÁIN";"Beriáin";"Navarra";"31191";"948175048";"MLASA@ILUNION.COM";;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1304";"B31570120";"15-A-960-00014119";"TINTORERIAS ALBA SL";"TINTORERIAS ALBA, S.L.";"ERRENIEGA,14";"CIZUR";"Cizur Menor";"Navarra";"31190";"948186545";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1305";"B31698681";"15-A-960-00014474";"IZAR SEC SL";"CITY SEC";"GUSTAVO DE MAEZTU, 4";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31200";"948552674";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1306";"B31530025";"15-A-960-00013625";"LAVANOR, SL";"LAVANOR, S.L.";"Castillo de Maya, 48 Bajo";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31003";"948241523";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1307";"B31470800";"15-A-960-00012293";"MANTENIMIENTO DE TEXTILES DE NAVARRA SL";"MANTENIMIENTO DE TEXTILES DE NAVARRA S.L.";"CRTA. SAN SEBASTIAN KM1";"TUDELA";"Tudela";"Navarra";"31500";;;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1308";"E31097066";"15-A-960-00008917";"AROSCOA AROSTEGUI GLORIA Y MOSO ESEVERRI CARMEN";"AROSCOA AROSTEGUI GLORIA Y MOSO ESEVERRI C";"IÑIGO ARISTA 19 BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1309";"B31470800";"15-A-960-00012294";"MANTENIMIENTO DE TEXTILES DE NAVARRA SL";"MANTENIMIENTO DE TEXTILES DE NAVARRA S.L.";"CRTA. SAN SEBASTIAN KM1";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1310";"E31824022";"15-A-960-00051361";"CHIVITE PEREZ INMACULADA Y MATEO SAEZ M PAZ";"INVERNA";"VALLE RONCAL  4 BAJO";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"948815497";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1311";"E31831407";"15-A-960-00051924";"AZKARATE ELIZETXE IñIGO Y LOREA";"AZKARATE ELIZETXE IÑIGO Y LOREA";"PL. IND. ORDOKI,PC 543 ";"BAZTAN";"Arizkun";"Navarra";"31713";;;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1312";"B31570120";"15-A-960-00013508";"TINTORERIAS ALBA SL";"TINTORERIAS ALBA, S.L.";"CRUZ DE BARCACIO, 6 BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31014";"948133990";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1313";"B31604010";"15-A-960-00013593";"CASTILLO ECHEVERRI SL";"TINTORERIA HYPERSEC";"TAJONAR, 1 LOCAL 3";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31006";"948238418";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1314";"72675498Y";"15-A-960-00012729";"ALDAZ OLMEDILLO PATXI";"ALDAZ OLMEDILLO, PATXI";"TR.INTXOSTIA  10";"ALTSASU/ALSASUA";"Altsasu/Alsasua";"Navarra";"31800";"948563939";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1315";"33105146G";"15-A-960-00050438";"MILLARES DELL LUIS";"TINTORERIA CLEAN CLEAN";"AV SANCHO EL FUERTE 34";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31008";;;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1316";"15859678M";"15-A-960-00007136";"ELIZALDE VERGARA MARIA LUISA";"ELIZALDE VERGARA M LUISA";"TRAV BAYONA 2";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";;;;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1317";"15782201S";"15-A-960-00051843";"HUARTE ELIZALDE MARIA CARMEN";"LAVANDERIA INDUSTRIAL HOGAR CARMEN";"POL.IND. ROCAFORTE B5";"SANGÜESA/ZANGOZA";"Sangüesa/Zangoza";"Navarra";"31400";"948871893";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1318";"B31587181";"15-A-960-00013944";"LISA LAVANDERIA SL";"LISA LAVANDERIA, S.L.";"CONDE DE GAGES, 10-B";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31014";"948249045";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1319";"B31570120";"15-A-960-00013946";"TINTORERIAS ALBA SL";"TINTORERIAS ALBA, S.L.";"BATONDOA, 1 BAJO";"BURLADA/BURLATA";"Burlada/Burlata";"Navarra";"31600";"948176030";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1320";"B31530025";"15-A-960-00013947";"LAVANOR, SL";"LAVANOR, S.L.";"Sancho El Mayor, 7- Bajo";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31002";"948175048";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1321";"16010412C";"15-A-960-00013567";"GARCIA BIENZOBAS ASUNCION";"GARCIA BIENZOBAS, ANGELINES";"AVDA. DE LA ESTACION, 13";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"812166";;;;"96.01";"Lavado y limpieza de prendas textiles y de piel";;
"1322";"A31064728";"15-A-960-00051149";"TANATORIOS IRACHE SA";"MARMOLES IRACHE";"POLÍGONO DE SARGAITZ, 7 Y 8";"UHARTE-ARAKIL";"Uharte-Arakil";"Navarra";"31840";"948464296";;"948173457";;"96.03";"Pompas fúnebres y actividades relacionadas";;
"1323";"A31087273";"15-A-016-00040365";"CEREALES CAMBRA SA";"CEREALES CAMBRA, S.A.";"La Paz, s/n";"CADREITA";"Cadreita";"Navarra";"31515";"948836085";"cerealescambra@hotmail.com";"948836088";;"1.64";"Tratamiento de semillas para reproducción";;
"1324";"B31287204";"15-A-016-00040470";"ABILIO PORTOLES E HIJOS SL";"ABILIO PORTOLES E HIJOS, S.L.";"Avenida Estación 19";"BUÑUEL";"Buñuel";"Navarra";"31540";"948833015";"amaya@abilioportoles.com";;;"1.64";"Tratamiento de semillas para reproducción";;
"1325";"B31539281";"15-A-016-00040493";"OSTA Y SAINZ SL";"OSTA Y SAINZ, S.L.";"Av. Estación, s/n";"BUÑUEL";"Buñuel";"Navarra";"31540";"833068";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1326";"F31020696";"15-A-016-00040508";"SOCIEDAD COOPERATIVA SAN ISIDRO DE PERALTA";"SDAD. COOP. SAN ISIDRO";"Av. Madrid, s/n";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948750079";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1327";"F31021165";"15-A-016-00040514";"AGRICOLA DE CORTES S COOP";"AGRICOLA DE CORTES, SDAD. COOP.";"Aguadores, s/n";"CORTES";"Cortes";"Navarra";"31530";"948800039";"administracion@agricoladecortes.com";;;"1.64";"Tratamiento de semillas para reproducción";;
"1328";"F31021140";"15-A-016-00040527";"SOCIEDAD COOPERATIVA DEL CAMPO SAN ISIDRO";"SDAD. COOP. DEL CAMPO SAN ISIDRO";"San Isidro, s/nº";"CABANILLAS";"Cabanillas";"Navarra";"31511";"840139";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1329";"A31194723";"15-A-016-00040545";"CEREALES PARDO SA";"CEREALES PARDO, S.A.";"Cra. Zaragoza, km. 96";"TUDELA";"Tudela";"Navarra";"31500";"948820699";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1330";"F31074727";"15-A-016-00040887";"COOPERATIVA CEREALISTA VALDIZARBE";"COOP. CEREALISTA VALDIZARBE";"Ventas de Ucar, s/n";"ÚCAR";"Úcar";"Navarra";"31154";"317859";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1331";"B31235195";"15-A-016-00041474";"CADREITA BANDERAS SL";"CADREITA BANDERAS, S.L.";"General Franco, 89";"CADREITA";"Cadreita";"Navarra";"31515";"948836328";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1332";"A31121171";"15-A-016-00041511";"ZULUETA CORPORACION PARA LA NATURALEZA SA";"ZULUETA CORPORACIÓN PARA LA NATURALEZA, S.A.";"Sol, 12";"FONTELLAS";"Fontellas";"Navarra";"31512";"825259";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1333";"F31014897";"15-A-016-00041876";"SOCIEDAD COOPERATIVA AGRICOLA EL SASO";"S. COOP. AGRICOLA EL SASO";"Cra. Andosilla, s/n";"LERÍN";"Lerín";"Navarra";"31260";"530403";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1334";"B31259922";"15-A-016-00041881";"SEMILLAS OLIVER SL";"SEMILLAS OLIVER, S.L.";"Cra. Estación, s/n";"BUÑUEL";"Buñuel";"Navarra";"31540";"832005";;;;"1.64";"Tratamiento de semillas para reproducción";;
"1335";"B31592223";"15-A-016-00042292";"CEREALES SANTESTEBAN SL";"CEREALES SANTESTEBAN SL";"Poligono Cascayera s/n";"MURIETA";"Murieta";"Navarra";"31280";"948534038";;"948534038";;"1.64";"Tratamiento de semillas para reproducción";;
"1336";"B31010820";"15-A-022-00040004";"MADERAS EDERRA SL";"MADERAS EDERRA, S.L.";"Cra. Uztarroz, s/n";"ISABA/IZABA";"Isaba/Izaba";"Navarra";"31417";"948893039";"maderasederra@maderasederra.com";;;"2.2";"Explotación de la madera";;
"1337";"B31066657";"15-A-022-00040009";"MADERAS RODA SL";"MADERAS RODA, S.L.";"Ruiz de Alda, s/n";"EZCÁROZ/EZKAROZE";"Ezcároz/Ezkaroze";"Navarra";"31690";"890105";;;;"2.2";"Explotación de la madera";;
"1338";"B31010846";"15-A-022-00040011";"SERRERIA PASCUAL Y FERMIN SL";"SERRERIA PASCUAL Y FERMIN, S.L.";"Mayor, s/n";"OITZ";"Oitz";"Navarra";"31751";"450996";;;;"2.2";"Explotación de la madera";;
"1339";"B31098072";"15-A-022-00040015";"SERRERIA SANZ HERMANOS SL";"SANZ HERMANOS, S.L.";"Cra. Pamplona, s/n";"BURGUI/BURGI";"Burgui/Burgi";"Navarra";"31412";"897034";;;;"2.2";"Explotación de la madera";;
"1340";"B31038698";"15-A-022-00040027";"MADERAS IJURCO SL";"MADERAS IJURCO, S.L.";"Bº Estación, s/n";"ETXARRI-ARANATZ";"Etxarri-Aranatz";"Navarra";"31820";"460031";;;;"2.2";"Explotación de la madera";;
"1341";"B31038920";"15-A-022-00040029";"SERRERIA BRETON SL";"SERRERIA BRETON, S.L.";"Atarrabia, 13";"VILLAVA/ATARRABIA";"Villava/Atarrabia";"Navarra";"31610";"240947";;;;"2.2";"Explotación de la madera";;
"1342";"A31229552";"15-A-022-00040030";"MADERAS IRIGOYEN SA";"MADERAS IRIGOYEN, S.A.";"Urrizoguieta";"ETXALAR";"Etxalar";"Navarra";"31760";"637133";;;;"2.2";"Explotación de la madera";;
"1343";"A31178247";"15-A-022-00040031";"MADERAS GAMIZ ZUñIGA SA";"MADERAS GAMIZ ZUÑIGA, S.A.";"Cr. Estella, s/n";"ZÚÑIGA";"Zúñiga";"Navarra";"31284";"405425";;;;"2.2";"Explotación de la madera";;
"1344";"A31098387";"15-A-022-00040034";"SERRERIA IDOATE SA";"SERRERIA IDOATE, S.A.";"Cra. de Aoiz, km. 4";"EGÜÉS";"Elcano";"Navarra";"31486";"330555";;;;"2.2";"Explotación de la madera";;
"1345";"E31158157";"15-A-022-00040045";"ALDUNATE IBARRA FJ JL MS MT M Y MA";"MADERAS Y EMB. ALDUNATE, S.C.P.";"Pol. Ipertegui";"ORKOIEN";"Orkoien";"Navarra";"31160";"325313";;;;"2.2";"Explotación de la madera";;
"1346";"B31112485";"15-A-022-00040048";"BARBIUR SL";"BARBIUR, S.L.";"Cra. Magdalena, s/n";"BURLADA/BURLATA";"Burlada/Burlata";"Navarra";"31600";"129968";;;;"2.2";"Explotación de la madera";;
"1347";"E31031297";"15-A-022-00040066";"ARANAZ IRAGUI FRANCISCO Y JOSE LUIS";"ARANAZ IRAGUI, FCO. Y JOSE LUIS";"Dr. Navarro, s/n";"BARÁSOAIN";"Barásoain";"Navarra";"31395";"720014";;;;"2.2";"Explotación de la madera";;
"1348";"B31007263";"15-A-022-00040069";"GIL HERMANOS SL";"GIL HERMANOS, S.L.";"Paraje ""El Monte""";"BERRIOPLANO";"Berrioplano/Berriobeiti";"Navarra";"31195";"303268";;;;"2.2";"Explotación de la madera";;
"1349";"A31000433";"15-A-022-00040124";"LA INDUSTRIAL SANGUESINA SA";"LA INDUSTRIAL SANGUESINA, S.A.";"Cra. Pamplona, s/n";"SANGÜESA/ZANGOZA";"Sangüesa/Zangoza";"Navarra";"31400";"870006";;;;"2.2";"Explotación de la madera";;
"1350";"A31239643";"15-A-022-00040127";"MADERAS RECARI SA";"MADERAS RECARI, S.A.";"Estación, 14";"CORTES";"Cortes";"Navarra";"31530";"800056";;"800056";;"2.2";"Explotación de la madera";;
"1351";"B31266067";"15-A-022-00040131";"ENVASES TOMAS SL";"ENVASES TOMAS, S.L.";"Cra. Tarazona, km. 5";"CASCANTE";"Cascante";"Navarra";"31520";"838301";;;;"2.2";"Explotación de la madera";;
"1352";"B31107493";"15-A-022-00040448";"JULIAN GOñI E HIJOS SL";"JULIAN GOÑI E HIJOS, S.L.";"Oriz, 6";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Noáin  ";"Navarra";"31110";"317565";"info@jgoniehijos.com";;;"2.2";"Explotación de la madera";;
"1353";"B31118193";"15-A-022-00040453";"SERRERIA Y EMBALAJES SANZ HERMANOS SL";"SERRERIA Y EMBALAJES SANZ HNOS.";"Av. Aróstegui, s/n";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"184040";;;;"2.2";"Explotación de la madera";;
"1354";"15726619R";"15-A-022-00040458";"LOSARCOS ELIO JOSE LUIS";"LOS ARCOS ELIO, JOSE LUIS";"Finca Echaide - VALLE DE ANUE";"ANUE";"Etxaide";"Navarra";"31798";"231241";;;;"2.2";"Explotación de la madera";;
"1355";"15717699M";"15-A-022-00040473";"CANTERO MARTICORENA JENARO";"CANTERO MARTICORENA, GENARO";"Pl. O. Irurita, 3";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"232622";;;;"2.2";"Explotación de la madera";;
"1356";"15815678G";"15-A-022-00040592";"ALEMAN SAHARREA JUAN BAUTISTA";"ALEMAN SAHARREA, JUAN B.";"Cra. Francia, s/n";"BAZTAN";"Erratzu";"Navarra";"31714";"453173";;;;"2.2";"Explotación de la madera";;
"1357";"E31131089";"15-A-022-00040594";"URTASUN URTASUN BERNARDO Y CASIMIRO";"URTASUN, CASIMIRO Y BERNARDO";"Cra. Francia, km. 42";"ERRO";"Aurizberri/Espinal";"Navarra";"31694";"790384";;;;"2.2";"Explotación de la madera";;
"1358";"B31236433";"15-A-022-00040632";"EMBALAJES MIGUEL MARTINEZ SL";"EMBALAJES MIGUEL MARTINEZ, S.L.";"Pl. Zalain, s/n";"BERA";"Bera";"Navarra";"31780";"630702";;;;"2.2";"Explotación de la madera";;
"1359";"B31084965";"15-A-022-00040641";"SERRERIA URABAYEN SL";"FAUSTINO URABAYEN, S.L.";"Cra. Artica, 30";"BERRIOPLANO";"Artica/Artika";"Navarra";"31195";"110204";;;;"2.2";"Explotación de la madera";;
"1360";"B31708225";"15-A-022-00041081";"MITXEO ZERRATEGIA SL";"MITXEO ZERRATEGUIA, S.L.";"Karrika Nagusia, S.L.";"SALDIAS";"Saldias";"Navarra";"31747";"615108";;;;"2.2";"Explotación de la madera";;
"1361";"B31109200";"15-A-022-00041229";"EXCLUSIVAS ALONSO SL";"EXCLUSIVAS ALONSO, S.A.";"Ventas, 1";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Torres";"Navarra";"31119";"317960";;;;"2.2";"Explotación de la madera";;
"1362";"E31232929";"15-A-022-00041246";"AZPIROZ LATASA M J Y AZPIROZ MUGURUZA J J";"AZPIROZ LATASA, MARTIN J. Y OTRO";"Asunción";"BASABURUA";"Jauntsarats ";"Navarra";"31866";"503093";;;;"2.2";"Explotación de la madera";;
"1363";"A31197817";"15-A-022-00041279";"OLLOQUI SA";"OLLOQUI, S.A.";"Cra. Francia";"ESTERIBAR";"Olloki";"Navarra";"31699";"330089";;;;"2.2";"Explotación de la madera";;
"1364";"B31401904";"15-A-022-00041533";"SERRERIA JUSLAPEñA SL";"SERRERIA JUSLAPEÑA, S.I.";"Cra. Belzunce, s/n";"JUSLAPEÑA";"Belzunce";"Navarra";"31193";"302312";;;;"2.2";"Explotación de la madera";;
"1365";"E31782170";"15-A-022-00042154";"ALCAT GARDE F ANAUT ANAUT C ARTOLA TURRILLAS JC ECHEVERRIA BRUN MA IRIGOYEN GANUZA LM";"MADERAS LEGARDA, S.I.";"Camino de Muruzabal";"LEGARDA";"Legarda";"Navarra";"31133";;;;;"2.2";"Explotación de la madera";;
"1366";"B31381015";"15-A-022-00042215";"MADERAS LOQUIZ SL";"MADERAS LOQUIZ, S.L.";"Pol. Ind. Ancín, parcelas 2 y 3";"ANCÍN/ANTZIN";"Ancín";"Navarra";"31281";;;;;"2.2";"Explotación de la madera";;
"1367";"E31296726";"15-A-101-00040058";"LARRAGUETA LECUMBERRI COSME Y MANUEL";"LARRAGUETA ECHAVARRI, COSME";"Mayor, 41";"BURLADA/BURLATA";"Burlada/Burlata";"Navarra";"31600";"122801";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1368";"72658491L";"15-A-101-00040059";"ARRUABARRENA IRURZUN MARIA TERESA";"ARRUABARRENA  IRURZUN, MARIA TERESA";"Karrikestu";"ETXARRI-ARANATZ";"Etxarri-Aranatz";"Navarra";"31820";"948460006";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1369";"B01113935";"15-A-101-00040071";"CARNICAS MIROTZ SL";"CARNICAS MIROTZ, S.L.";"Excmo. Sr. Obispo, s/n";"AGUILAR DE CODÉS";"Aguilar de Codés";"Navarra";"31228";"948444160";"aguilar@mirotz.com";;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1370";"B31768583";"15-A-101-00040078";"GRANJA JIMENEZ SL";"GRANJA JIMENEZ, S.L.";"Cra. San Martín Unx, km. 12";"TAFALLA";"Tafalla";"Navarra";"31300";"948701561";"granjajimenez@terra.es";"948703304";;"10.12";"Procesado y conservación de volatería";;
"1371";"B31077514";"15-A-101-00040144";"GRANJA ESPARZA SL";"GRANJA ESPARZA, S.L.";"Camino Marinal, s/n";"SAN ADRIÁN";"San Adrián";"Navarra";"31570";"670700";;;;"10.12";"Procesado y conservación de volatería";;
"1372";"B31125487";"15-A-101-00040180";"CARNICAS IRIGUIBEL SL";"CARNICAS IRIGUIBEL, S.L.";"Portal 1 bajo";"HUARTE/UHARTE";"Huarte/Uharte";"Navarra";"31620";"948330213";"carniceriairiguibel@yahoo.es";;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1373";"A31129380";"15-A-101-00040282";"AGUIRRE Y ARANDA SA";"AGUIRRE Y ARANDA, S.A.";"Mercaderes, 16 bajo";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"222490";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1374";"B31178445";"15-A-101-00040410";"EMBUTIDOS ARIZALETA SL";"EMBUTIDOS ARIZALETA, S.L.";"Camino del Molino, s/n";"CIZUR";"Cizur Menor";"Navarra";"31180";"948183934";"arizaletaemb@yahoo.es";"984183936";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1375";"A31342116";"15-A-101-00040556";"VALERIANO Y ERNESTO PORTILLO SA";"VALERIANO Y ERNESTO PORTILLO,S.A";"Santa María, 55";"LAPOBLACIÓN";"Meano ";"Navarra";"31227";"948659034";"vepsa@infonegocio.com";"948659034";;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1376";"15718962A";"15-A-101-00040568";"ZABALZA ARMENDARIZ MARIA PILAR";"ZABALZA ARMENDARIZ, Mª PILAR";"San Isidro, 36";"TAFALLA";"Tafalla";"Navarra";"31300";"700427";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1377";"E31523129";"15-A-101-00040572";"BACAICOA OROZ DANIEL ESTEBAN Y JESUS ANDRES";"DANIEL E. Y JESUS A. BACAICOA OROZ, S.I.";"Zatoia, 3";"ESTERIBAR";"Zubiri ";"Navarra";"31630";"948304230";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1378";"B31429434";"15-A-101-00040574";"CARNICERIAS HERMANOS AGUINAGA SL";"CARNICERIAS HNOS. AGUINAGA, S.L.";"Platerías, 6";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31200";"550830";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
"1379";"15754424E";"15-A-101-00040600";"GORRIZ ARDAIZ MARIA TERESA";"GORRIZ ARDAIZ, Mª TERESA";"Dr. Labayen, 1";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"31011";"111794";;;;"10.13";"Elaboración de productos cárnicos y de volatería";;
